name,name_original,category,calories_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,saturated_fat_g_per_100g,sodium_mg_per_100g,source_name,source_id,license
Horneado papa,Baked potato,Comidas estonias,86,2.2,18.4,0.2,1.8,0,,,tempolife_curated,1243,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Baltic sprat salsa,Baltic sprat sauce,Comidas estonias,148,12.4,4.6,8.8,0.4,0,,,tempolife_curated,1256,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Papilla de cebada,Barley groat porridge,Comidas estonias,104,3.6,18.8,1.6,1.8,0,,,tempolife_curated,1273,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Baya mermelada,Berry jam,Comidas estonias,248,0.4,62.4,0.1,1.2,0,,,tempolife_curated,1266,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Bola de sangre (albóndiga),Blood dumpling,Comidas estonias,184,8.6,18.4,8.4,1.4,0,,,tempolife_curated,1274,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Blood salchicha,Blood sausage,Comidas estonias,295,14.2,16.8,20.1,1.4,0,,,tempolife_curated,1216,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Blood salchicha en salsa,Blood sausage in sauce,Comidas estonias,312,13.8,18.6,20.8,1.6,0,,,tempolife_curated,1281,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Hervido papa,Boiled potato,Comidas estonias,76,2,16.8,0.1,1.6,0,,,tempolife_curated,1244,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Borsch,Borscht,Comidas estonias,62,3.6,8.2,1.6,1.8,0,,,tempolife_curated,1249,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Estofado repollo,Braised cabbage,Comidas estonias,62,2.4,7.8,2.2,2.6,0,,,tempolife_curated,1245,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Pan cutlet,Bread cutlet,Comidas estonias,184,6.8,24.4,7.2,1.6,0,,,tempolife_curated,1258,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
Hamburguesa de trigo sarraceno (veggie),Buckwheat patty (veggie),Comidas estonias,148,6.4,20.8,4.4,2.6,0,,,tempolife_curated,1308,CC-BY-4.0 (TempoLife tempolife.app); datos USDA subyacentes son dominio público
